Metadata_Well	cell_count	batch_id	sc_type	Metadata_Plate	Metadata_Plate_Map_Name	Metadata_well_position	Metadata_plating_density	Metadata_line_ID	Metadata_timepoint
A01	152	BR00103267	all	BR00103267	cmQTL1-4_mt	A01	5000	A	6
A02	236	BR00103267	all	BR00103267	cmQTL1-4_mt	A02	5000	A	6
A03	847	BR00103267	all	BR00103267	cmQTL1-4_mt	A03	15000	B	6
A04	1205	BR00103267	all	BR00103267	cmQTL1-4_mt	A04	15000	B	6
A05	119	BR00103267	all	BR00103267	cmQTL1-4_mt	A05	5000	E	6
A06	186	BR00103267	all	BR00103267	cmQTL1-4_mt	A06	5000	E	6
A07	362	BR00103267	all	BR00103267	cmQTL1-4_mt	A07	10000	C	6
A08	483	BR00103267	all	BR00103267	cmQTL1-4_mt	A08	10000	C	6
A09	1434	BR00103267	all	BR00103267	cmQTL1-4_mt	A09	20000	D	6
A10	2289	BR00103267	all	BR00103267	cmQTL1-4_mt	A10	20000	D	6
A11	191	BR00103267	all	BR00103267	cmQTL1-4_mt	A11	10000	E	6
A12	269	BR00103267	all	BR00103267	cmQTL1-4_mt	A12	10000	E	6
A13	221	BR00103267	all	BR00103267	cmQTL1-4_mt	A13	15000	A	6
A14	374	BR00103267	all	BR00103267	cmQTL1-4_mt	A14	15000	A	6
A15	436	BR00103267	all	BR00103267	cmQTL1-4_mt	A15	10000	B	6
A16	540	BR00103267	all	BR00103267	cmQTL1-4_mt	A16	10000	B	6
A17	541	BR00103267	all	BR00103267	cmQTL1-4_mt	A17	20000	C	6
A18	981	BR00103267	all	BR00103267	cmQTL1-4_mt	A18	20000	C	6
A19	293	BR00103267	all	BR00103267	cmQTL1-4_mt	A19	15000	B	6
A20	492	BR00103267	all	BR00103267	cmQTL1-4_mt	A20	15000	B	6
A21	412	BR00103267	all	BR00103267	cmQTL1-4_mt	A21	15000	C	6
A22	764	BR00103267	all	BR00103267	cmQTL1-4_mt	A22	15000	C	6
A23	647	BR00103267	all	BR00103267	cmQTL1-4_mt	A23	20000	A	6
A24	683	BR00103267	all	BR00103267	cmQTL1-4_mt	A24	20000	A	6
B01	259	BR00103267	all	BR00103267	cmQTL1-4_mt	B01	5000	A	6
B02	314	BR00103267	all	BR00103267	cmQTL1-4_mt	B02	5000	A	6
B03	1151	BR00103267	all	BR00103267	cmQTL1-4_mt	B03	15000	B	6
B04	1089	BR00103267	all	BR00103267	cmQTL1-4_mt	B04	15000	B	6
B05	219	BR00103267	all	BR00103267	cmQTL1-4_mt	B05	5000	E	6
B06	174	BR00103267	all	BR00103267	cmQTL1-4_mt	B06	5000	E	6
B07	806	BR00103267	all	BR00103267	cmQTL1-4_mt	B07	10000	C	6
B08	806	BR00103267	all	BR00103267	cmQTL1-4_mt	B08	10000	C	6
B09	2908	BR00103267	all	BR00103267	cmQTL1-4_mt	B09	20000	D	6
B10	2826	BR00103267	all	BR00103267	cmQTL1-4_mt	B10	20000	D	6
B11	479	BR00103267	all	BR00103267	cmQTL1-4_mt	B11	10000	E	6
B12	370	BR00103267	all	BR00103267	cmQTL1-4_mt	B12	10000	E	6
B13	583	BR00103267	all	BR00103267	cmQTL1-4_mt	B13	15000	A	6
B14	875	BR00103267	all	BR00103267	cmQTL1-4_mt	B14	15000	A	6
B15	758	BR00103267	all	BR00103267	cmQTL1-4_mt	B15	10000	B	6
B16	757	BR00103267	all	BR00103267	cmQTL1-4_mt	B16	10000	B	6
B17	1638	BR00103267	all	BR00103267	cmQTL1-4_mt	B17	20000	C	6
B18	1573	BR00103267	all	BR00103267	cmQTL1-4_mt	B18	20000	C	6
B19	963	BR00103267	all	BR00103267	cmQTL1-4_mt	B19	15000	B	6
B20	1084	BR00103267	all	BR00103267	cmQTL1-4_mt	B20	15000	B	6
B21	1001	BR00103267	all	BR00103267	cmQTL1-4_mt	B21	15000	C	6
B22	1068	BR00103267	all	BR00103267	cmQTL1-4_mt	B22	15000	C	6
B23	1033	BR00103267	all	BR00103267	cmQTL1-4_mt	B23	20000	A	6
B24	907	BR00103267	all	BR00103267	cmQTL1-4_mt	B24	20000	A	6
C01	277	BR00103267	all	BR00103267	cmQTL1-4_mt	C01	5000	C	6
C02	440	BR00103267	all	BR00103267	cmQTL1-4_mt	C02	5000	C	6
C03	816	BR00103267	all	BR00103267	cmQTL1-4_mt	C03	10000	D	6
C04	1173	BR00103267	all	BR00103267	cmQTL1-4_mt	C04	10000	D	6
C05	316	BR00103267	all	BR00103267	cmQTL1-4_mt	C05	5000	B	6
C06	393	BR00103267	all	BR00103267	cmQTL1-4_mt	C06	5000	B	6
C07	262	BR00103267	all	BR00103267	cmQTL1-4_mt	C07	10000	A	6
C08	422	BR00103267	all	BR00103267	cmQTL1-4_mt	C08	10000	A	6
C09	1064	BR00103267	all	BR00103267	cmQTL1-4_mt	C09	20000	B	6
C10	1612	BR00103267	all	BR00103267	cmQTL1-4_mt	C10	20000	B	6
C11	1593	BR00103267	all	BR00103267	cmQTL1-4_mt	C11	15000	F	6
C12	2997	BR00103267	all	BR00103267	cmQTL1-4_mt	C12	15000	F	6
C13	306	BR00103267	all	BR00103267	cmQTL1-4_mt	C13	5000	D	6
C14	461	BR00103267	all	BR00103267	cmQTL1-4_mt	C14	5000	D	6
C15	1163	BR00103267	all	BR00103267	cmQTL1-4_mt	C15	20000	F	6
C16	1886	BR00103267	all	BR00103267	cmQTL1-4_mt	C16	20000	F	6
C17	278	BR00103267	all	BR00103267	cmQTL1-4_mt	C17	10000	D	6
C18	603	BR00103267	all	BR00103267	cmQTL1-4_mt	C18	10000	D	6
C19	305	BR00103267	all	BR00103267	cmQTL1-4_mt	C19	5000	A	6
C20	378	BR00103267	all	BR00103267	cmQTL1-4_mt	C20	5000	A	6
C21	232	BR00103267	all	BR00103267	cmQTL1-4_mt	C21	10000	E	6
C22	378	BR00103267	all	BR00103267	cmQTL1-4_mt	C22	10000	E	6
C23	1564	BR00103267	all	BR00103267	cmQTL1-4_mt	C23	20000	D	6
C24	2223	BR00103267	all	BR00103267	cmQTL1-4_mt	C24	20000	D	6
D01	439	BR00103267	all	BR00103267	cmQTL1-4_mt	D01	5000	C	6
D02	428	BR00103267	all	BR00103267	cmQTL1-4_mt	D02	5000	C	6
