Metadata_Well	cell_count	batch_id	sc_type	Metadata_Plate	Metadata_Plate_Map_Name	Metadata_well_position	Metadata_plating_density	Metadata_line_ID	Metadata_timepoint
D03	1395	BR00103267	all	BR00103267	cmQTL1-4_mt	D03	10000	D	6
D04	1184	BR00103267	all	BR00103267	cmQTL1-4_mt	D04	10000	D	6
D05	375	BR00103267	all	BR00103267	cmQTL1-4_mt	D05	5000	B	6
D06	361	BR00103267	all	BR00103267	cmQTL1-4_mt	D06	5000	B	6
D07	529	BR00103267	all	BR00103267	cmQTL1-4_mt	D07	10000	A	6
D08	557	BR00103267	all	BR00103267	cmQTL1-4_mt	D08	10000	A	6
D09	1739	BR00103267	all	BR00103267	cmQTL1-4_mt	D09	20000	B	6
D10	1571	BR00103267	all	BR00103267	cmQTL1-4_mt	D10	20000	B	6
D11	3809	BR00103267	all	BR00103267	cmQTL1-4_mt	D11	15000	F	6
D12	3215	BR00103267	all	BR00103267	cmQTL1-4_mt	D12	15000	F	6
D13	573	BR00103267	all	BR00103267	cmQTL1-4_mt	D13	5000	D	6
D14	378	BR00103267	all	BR00103267	cmQTL1-4_mt	D14	5000	D	6
D15	3499	BR00103267	all	BR00103267	cmQTL1-4_mt	D15	20000	F	6
D16	4434	BR00103267	all	BR00103267	cmQTL1-4_mt	D16	20000	F	6
D17	1050	BR00103267	all	BR00103267	cmQTL1-4_mt	D17	10000	D	6
D18	1146	BR00103267	all	BR00103267	cmQTL1-4_mt	D18	10000	D	6
D19	431	BR00103267	all	BR00103267	cmQTL1-4_mt	D19	5000	A	6
D20	324	BR00103267	all	BR00103267	cmQTL1-4_mt	D20	5000	A	6
D21	381	BR00103267	all	BR00103267	cmQTL1-4_mt	D21	10000	E	6
D22	430	BR00103267	all	BR00103267	cmQTL1-4_mt	D22	10000	E	6
D23	2654	BR00103267	all	BR00103267	cmQTL1-4_mt	D23	20000	D	6
D24	2588	BR00103267	all	BR00103267	cmQTL1-4_mt	D24	20000	D	6
E01	223	BR00103267	all	BR00103267	cmQTL1-4_mt	E01	5000	D	6
E02	332	BR00103267	all	BR00103267	cmQTL1-4_mt	E02	5000	D	6
E03	764	BR00103267	all	BR00103267	cmQTL1-4_mt	E03	20000	B	6
E04	1027	BR00103267	all	BR00103267	cmQTL1-4_mt	E04	20000	B	6
E05	1616	BR00103267	all	BR00103267	cmQTL1-4_mt	E05	20000	F	6
E06	3270	BR00103267	all	BR00103267	cmQTL1-4_mt	E06	20000	F	6
E07	85	BR00103267	all	BR00103267	cmQTL1-4_mt	E07	15000	E	6
E08	174	BR00103267	all	BR00103267	cmQTL1-4_mt	E08	15000	E	6
E09	547	BR00103267	all	BR00103267	cmQTL1-4_mt	E09	10000	F	6
E10	1107	BR00103267	all	BR00103267	cmQTL1-4_mt	E10	10000	F	6
E11	891	BR00103267	all	BR00103267	cmQTL1-4_mt	E11	20000	A	6
E12	1287	BR00103267	all	BR00103267	cmQTL1-4_mt	E12	20000	A	6
E13	312	BR00103267	all	BR00103267	cmQTL1-4_mt	E13	10000	B	6
E14	631	BR00103267	all	BR00103267	cmQTL1-4_mt	E14	10000	B	6
E15	73	BR00103267	all	BR00103267	cmQTL1-4_mt	E15	5000	E	6
E16	94	BR00103267	all	BR00103267	cmQTL1-4_mt	E16	5000	E	6
E17	1345	BR00103267	all	BR00103267	cmQTL1-4_mt	E17	10000	F	6
E18	2059	BR00103267	all	BR00103267	cmQTL1-4_mt	E18	10000	F	6
E19	533	BR00103267	all	BR00103267	cmQTL1-4_mt	E19	10000	C	6
E20	743	BR00103267	all	BR00103267	cmQTL1-4_mt	E20	10000	C	6
E21	243	BR00103267	all	BR00103267	cmQTL1-4_mt	E21	5000	B	6
E22	343	BR00103267	all	BR00103267	cmQTL1-4_mt	E22	5000	B	6
E23	1017	BR00103267	all	BR00103267	cmQTL1-4_mt	E23	20000	B	6
E24	1148	BR00103267	all	BR00103267	cmQTL1-4_mt	E24	20000	B	6
F01	424	BR00103267	all	BR00103267	cmQTL1-4_mt	F01	5000	D	6
F02	384	BR00103267	all	BR00103267	cmQTL1-4_mt	F02	5000	D	6
F03	1223	BR00103267	all	BR00103267	cmQTL1-4_mt	F03	20000	B	6
F04	1523	BR00103267	all	BR00103267	cmQTL1-4_mt	F04	20000	B	6
F05	4217	BR00103267	all	BR00103267	cmQTL1-4_mt	F05	20000	F	6
F06	4863	BR00103267	all	BR00103267	cmQTL1-4_mt	F06	20000	F	6
F07	275	BR00103267	all	BR00103267	cmQTL1-4_mt	F07	15000	E	6
F08	402	BR00103267	all	BR00103267	cmQTL1-4_mt	F08	15000	E	6
F09	1958	BR00103267	all	BR00103267	cmQTL1-4_mt	F09	10000	F	6
F10	1965	BR00103267	all	BR00103267	cmQTL1-4_mt	F10	10000	F	6
F11	1390	BR00103267	all	BR00103267	cmQTL1-4_mt	F11	20000	A	6
F12	1257	BR00103267	all	BR00103267	cmQTL1-4_mt	F12	20000	A	6
F13	632	BR00103267	all	BR00103267	cmQTL1-4_mt	F13	10000	B	6
F14	534	BR00103267	all	BR00103267	cmQTL1-4_mt	F14	10000	B	6
F15	134	BR00103267	all	BR00103267	cmQTL1-4_mt	F15	5000	E	6
F16	149	BR00103267	all	BR00103267	cmQTL1-4_mt	F16	5000	E	6
F17	2242	BR00103267	all	BR00103267	cmQTL1-4_mt	F17	10000	F	6
F18	2156	BR00103267	all	BR00103267	cmQTL1-4_mt	F18	10000	F	6
F19	788	BR00103267	all	BR00103267	cmQTL1-4_mt	F19	10000	C	6
F20	677	BR00103267	all	BR00103267	cmQTL1-4_mt	F20	10000	C	6
F21	327	BR00103267	all	BR00103267	cmQTL1-4_mt	F21	5000	B	6
F22	309	BR00103267	all	BR00103267	cmQTL1-4_mt	F22	5000	B	6
F23	1476	BR00103267	all	BR00103267	cmQTL1-4_mt	F23	20000	B	6
F24	1588	BR00103267	all	BR00103267	cmQTL1-4_mt	F24	20000	B	6
G01	247	BR00103267	all	BR00103267	cmQTL1-4_mt	G01	15000	E	6
G02	402	BR00103267	all	BR00103267	cmQTL1-4_mt	G02	15000	E	6
G03	365	BR00103267	all	BR00103267	cmQTL1-4_mt	G03	15000	D	6
G04	664	BR00103267	all	BR00103267	cmQTL1-4_mt	G04	15000	D	6
G05	120	BR00103267	all	BR00103267	cmQTL1-4_mt	G05	5000	C	6
G06	217	BR00103267	all	BR00103267	cmQTL1-4_mt	G06	5000	C	6
G07	92	BR00103267	all	BR00103267	cmQTL1-4_mt	G07	10000	E	6
G08	95	BR00103267	all	BR00103267	cmQTL1-4_mt	G08	10000	E	6
G09	963	BR00103267	all	BR00103267	cmQTL1-4_mt	G09	20000	D	6
G10	1568	BR00103267	all	BR00103267	cmQTL1-4_mt	G10	20000	D	6
G11	957	BR00103267	all	BR00103267	cmQTL1-4_mt	G11	5000	F	6
G12	1151	BR00103267	all	BR00103267	cmQTL1-4_mt	G12	5000	F	6
G13	834	BR00103267	all	BR00103267	cmQTL1-4_mt	G13	15000	A	6
G14	1266	BR00103267	all	BR00103267	cmQTL1-4_mt	G14	15000	A	6
G15	480	BR00103267	all	BR00103267	cmQTL1-4_mt	G15	5000	F	6
G16	833	BR00103267	all	BR00103267	cmQTL1-4_mt	G16	5000	F	6
G17	139	BR00103267	all	BR00103267	cmQTL1-4_mt	G17	20000	E	6
G18	284	BR00103267	all	BR00103267	cmQTL1-4_mt	G18	20000	E	6
G19	876	BR00103267	all	BR00103267	cmQTL1-4_mt	G19	5000	F	6
G20	1069	BR00103267	all	BR00103267	cmQTL1-4_mt	G20	5000	F	6
G21	356	BR00103267	all	BR00103267	cmQTL1-4_mt	G21	5000	C	6
G22	496	BR00103267	all	BR00103267	cmQTL1-4_mt	G22	5000	C	6
G23	247	BR00103267	all	BR00103267	cmQTL1-4_mt	G23	10000	A	6
G24	375	BR00103267	all	BR00103267	cmQTL1-4_mt	G24	10000	A	6
H01	437	BR00103267	all	BR00103267	cmQTL1-4_mt	H01	15000	E	6
H02	573	BR00103267	all	BR00103267	cmQTL1-4_mt	H02	15000	E	6
H03	1419	BR00103267	all	BR00103267	cmQTL1-4_mt	H03	15000	D	6
H04	1647	BR00103267	all	BR00103267	cmQTL1-4_mt	H04	15000	D	6
H05	313	BR00103267	all	BR00103267	cmQTL1-4_mt	H05	5000	C	6
H06	272	BR00103267	all	BR00103267	cmQTL1-4_mt	H06	5000	C	6
H07	194	BR00103267	all	BR00103267	cmQTL1-4_mt	H07	10000	E	6
H08	246	BR00103267	all	BR00103267	cmQTL1-4_mt	H08	10000	E	6
H09	1459	BR00103267	all	BR00103267	cmQTL1-4_mt	H09	20000	D	6
H10	2116	BR00103267	all	BR00103267	cmQTL1-4_mt	H10	20000	D	6
H11	1134	BR00103267	all	BR00103267	cmQTL1-4_mt	H11	5000	F	6
H12	931	BR00103267	all	BR00103267	cmQTL1-4_mt	H12	5000	F	6
H13	1232	BR00103267	all	BR00103267	cmQTL1-4_mt	H13	15000	A	6
H14	1042	BR00103267	all	BR00103267	cmQTL1-4_mt	H14	15000	A	6
H15	1025	BR00103267	all	BR00103267	cmQTL1-4_mt	H15	5000	F	6
H16	1001	BR00103267	all	BR00103267	cmQTL1-4_mt	H16	5000	F	6
H17	321	BR00103267	all	BR00103267	cmQTL1-4_mt	H17	20000	E	6
H18	613	BR00103267	all	BR00103267	cmQTL1-4_mt	H18	20000	E	6
H19	1130	BR00103267	all	BR00103267	cmQTL1-4_mt	H19	5000	F	6
H20	963	BR00103267	all	BR00103267	cmQTL1-4_mt	H20	5000	F	6
H21	442	BR00103267	all	BR00103267	cmQTL1-4_mt	H21	5000	C	6
H22	426	BR00103267	all	BR00103267	cmQTL1-4_mt	H22	5000	C	6
H23	414	BR00103267	all	BR00103267	cmQTL1-4_mt	H23	10000	A	6
H24	443	BR00103267	all	BR00103267	cmQTL1-4_mt	H24	10000	A	6
I01	381	BR00103267	all	BR00103267	cmQTL1-4_mt	I01	15000	A	6
I02	677	BR00103267	all	BR00103267	cmQTL1-4_mt	I02	15000	A	6
I03	415	BR00103267	all	BR00103267	cmQTL1-4_mt	I03	15000	C	6
I04	890	BR00103267	all	BR00103267	cmQTL1-4_mt	I04	15000	C	6
I05	255	BR00103267	all	BR00103267	cmQTL1-4_mt	I05	20000	E	6
I06	526	BR00103267	all	BR00103267	cmQTL1-4_mt	I06	20000	E	6
I07	1291	BR00103267	all	BR00103267	cmQTL1-4_mt	I07	20000	F	6
I08	2400	BR00103267	all	BR00103267	cmQTL1-4_mt	I08	20000	F	6
I09	417	BR00103267	all	BR00103267	cmQTL1-4_mt	I09	15000	C	6
I10	566	BR00103267	all	BR00103267	cmQTL1-4_mt	I10	15000	C	6
I11	331	BR00103267	all	BR00103267	cmQTL1-4_mt	I11	10000	C	6
I12	585	BR00103267	all	BR00103267	cmQTL1-4_mt	I12	10000	C	6
I13	976	BR00103267	all	BR00103267	cmQTL1-4_mt	I13	15000	F	6
I14	1909	BR00103267	all	BR00103267	cmQTL1-4_mt	I14	15000	F	6
I15	47	BR00103267	all	BR00103267	cmQTL1-4_mt	I15	5000	E	6
I16	108	BR00103267	all	BR00103267	cmQTL1-4_mt	I16	5000	E	6
I17	80	BR00103267	all	BR00103267	cmQTL1-4_mt	I17	5000	D	6
I18	130	BR00103267	all	BR00103267	cmQTL1-4_mt	I18	5000	D	6
I19	949	BR00103267	all	BR00103267	cmQTL1-4_mt	I19	20000	F	6
I20	1850	BR00103267	all	BR00103267	cmQTL1-4_mt	I20	20000	F	6
I21	114	BR00103267	all	BR00103267	cmQTL1-4_mt	I21	5000	E	6
I22	159	BR00103267	all	BR00103267	cmQTL1-4_mt	I22	5000	E	6
I23	407	BR00103267	all	BR00103267	cmQTL1-4_mt	I23	10000	D	6
I24	721	BR00103267	all	BR00103267	cmQTL1-4_mt	I24	10000	D	6
J01	961	BR00103267	all	BR00103267	cmQTL1-4_mt	J01	15000	A	6
J02	1005	BR00103267	all	BR00103267	cmQTL1-4_mt	J02	15000	A	6
J03	1113	BR00103267	all	BR00103267	cmQTL1-4_mt	J03	15000	C	6
J04	1117	BR00103267	all	BR00103267	cmQTL1-4_mt	J04	15000	C	6
J05	796	BR00103267	all	BR00103267	cmQTL1-4_mt	J05	20000	E	6
J06	914	BR00103267	all	BR00103267	cmQTL1-4_mt	J06	20000	E	6
J07	4392	BR00103267	all	BR00103267	cmQTL1-4_mt	J07	20000	F	6
J08	4669	BR00103267	all	BR00103267	cmQTL1-4_mt	J08	20000	F	6
J09	721	BR00103267	all	BR00103267	cmQTL1-4_mt	J09	15000	C	6
J10	782	BR00103267	all	BR00103267	cmQTL1-4_mt	J10	15000	C	6
J11	669	BR00103267	all	BR00103267	cmQTL1-4_mt	J11	10000	C	6
J12	586	BR00103267	all	BR00103267	cmQTL1-4_mt	J12	10000	C	6
J13	2472	BR00103267	all	BR00103267	cmQTL1-4_mt	J13	15000	F	6
J14	2809	BR00103267	all	BR00103267	cmQTL1-4_mt	J14	15000	F	6
J15	136	BR00103267	all	BR00103267	cmQTL1-4_mt	J15	5000	E	6
J16	170	BR00103267	all	BR00103267	cmQTL1-4_mt	J16	5000	E	6
J17	248	BR00103267	all	BR00103267	cmQTL1-4_mt	J17	5000	D	6
J18	401	BR00103267	all	BR00103267	cmQTL1-4_mt	J18	5000	D	6
J19	2888	BR00103267	all	BR00103267	cmQTL1-4_mt	J19	20000	F	6
J20	4238	BR00103267	all	BR00103267	cmQTL1-4_mt	J20	20000	F	6
J21	194	BR00103267	all	BR00103267	cmQTL1-4_mt	J21	5000	E	6
J22	197	BR00103267	all	BR00103267	cmQTL1-4_mt	J22	5000	E	6
J23	864	BR00103267	all	BR00103267	cmQTL1-4_mt	J23	10000	D	6
J24	1033	BR00103267	all	BR00103267	cmQTL1-4_mt	J24	10000	D	6
K01	1362	BR00103267	all	BR00103267	cmQTL1-4_mt	K01	15000	F	6
K02	2001	BR00103267	all	BR00103267	cmQTL1-4_mt	K02	15000	F	6
K03	360	BR00103267	all	BR00103267	cmQTL1-4_mt	K03	15000	B	6
K04	519	BR00103267	all	BR00103267	cmQTL1-4_mt	K04	15000	B	6
K05	644	BR00103267	all	BR00103267	cmQTL1-4_mt	K05	20000	C	6
K06	1070	BR00103267	all	BR00103267	cmQTL1-4_mt	K06	20000	C	6
K07	234	BR00103267	all	BR00103267	cmQTL1-4_mt	K07	10000	D	6
K08	681	BR00103267	all	BR00103267	cmQTL1-4_mt	K08	10000	D	6
K09	294	BR00103267	all	BR00103267	cmQTL1-4_mt	K09	20000	E	6
K10	571	BR00103267	all	BR00103267	cmQTL1-4_mt	K10	20000	E	6
K11	534	BR00103267	all	BR00103267	cmQTL1-4_mt	K11	15000	D	6
K12	1088	BR00103267	all	BR00103267	cmQTL1-4_mt	K12	15000	D	6
K13	211	BR00103267	all	BR00103267	cmQTL1-4_mt	K13	15000	E	6
K14	399	BR00103267	all	BR00103267	cmQTL1-4_mt	K14	15000	E	6
K15	75	BR00103267	all	BR00103267	cmQTL1-4_mt	K15	5000	A	6
K16	132	BR00103267	all	BR00103267	cmQTL1-4_mt	K16	5000	A	6
K17	718	BR00103267	all	BR00103267	cmQTL1-4_mt	K17	10000	F	6
K18	1253	BR00103267	all	BR00103267	cmQTL1-4_mt	K18	10000	F	6
K19	243	BR00103267	all	BR00103267	cmQTL1-4_mt	K19	20000	A	6
K20	473	BR00103267	all	BR00103267	cmQTL1-4_mt	K20	20000	A	6
K21	277	BR00103267	all	BR00103267	cmQTL1-4_mt	K21	15000	D	6
K22	551	BR00103267	all	BR00103267	cmQTL1-4_mt	K22	15000	D	6
K23	375	BR00103267	all	BR00103267	cmQTL1-4_mt	K23	10000	B	6
K24	509	BR00103267	all	BR00103267	cmQTL1-4_mt	K24	10000	B	6
L01	2859	BR00103267	all	BR00103267	cmQTL1-4_mt	L01	15000	F	6
L02	3330	BR00103267	all	BR00103267	cmQTL1-4_mt	L02	15000	F	6
L03	658	BR00103267	all	BR00103267	cmQTL1-4_mt	L03	15000	B	6
L04	838	BR00103267	all	BR00103267	cmQTL1-4_mt	L04	15000	B	6
L05	1526	BR00103267	all	BR00103267	cmQTL1-4_mt	L05	20000	C	6
L06	1580	BR00103267	all	BR00103267	cmQTL1-4_mt	L06	20000	C	6
L07	1132	BR00103267	all	BR00103267	cmQTL1-4_mt	L07	10000	D	6
L08	1292	BR00103267	all	BR00103267	cmQTL1-4_mt	L08	10000	D	6
L09	833	BR00103267	all	BR00103267	cmQTL1-4_mt	L09	20000	E	6
L10	903	BR00103267	all	BR00103267	cmQTL1-4_mt	L10	20000	E	6
L11	1810	BR00103267	all	BR00103267	cmQTL1-4_mt	L11	15000	D	6
L12	1863	BR00103267	all	BR00103267	cmQTL1-4_mt	L12	15000	D	6
L13	513	BR00103267	all	BR00103267	cmQTL1-4_mt	L13	15000	E	6
L14	585	BR00103267	all	BR00103267	cmQTL1-4_mt	L14	15000	E	6
L15	166	BR00103267	all	BR00103267	cmQTL1-4_mt	L15	5000	A	6
L16	226	BR00103267	all	BR00103267	cmQTL1-4_mt	L16	5000	A	6
L17	1720	BR00103267	all	BR00103267	cmQTL1-4_mt	L17	10000	F	6
L18	2197	BR00103267	all	BR00103267	cmQTL1-4_mt	L18	10000	F	6
L19	824	BR00103267	all	BR00103267	cmQTL1-4_mt	L19	20000	A	6
L20	1257	BR00103267	all	BR00103267	cmQTL1-4_mt	L20	20000	A	6
L21	796	BR00103267	all	BR00103267	cmQTL1-4_mt	L21	15000	D	6
L22	1319	BR00103267	all	BR00103267	cmQTL1-4_mt	L22	15000	D	6
L23	677	BR00103267	all	BR00103267	cmQTL1-4_mt	L23	10000	B	6
L24	846	BR00103267	all	BR00103267	cmQTL1-4_mt	L24	10000	B	6
M01	404	BR00103267	all	BR00103267	cmQTL1-4_mt	M01	10000	B	6
M02	565	BR00103267	all	BR00103267	cmQTL1-4_mt	M02	10000	B	6
M03	367	BR00103267	all	BR00103267	cmQTL1-4_mt	M03	20000	A	6
M04	772	BR00103267	all	BR00103267	cmQTL1-4_mt	M04	20000	A	6
M05	155	BR00103267	all	BR00103267	cmQTL1-4_mt	M05	5000	A	6
M06	223	BR00103267	all	BR00103267	cmQTL1-4_mt	M06	5000	A	6
M07	203	BR00103267	all	BR00103267	cmQTL1-4_mt	M07	5000	B	6
M08	302	BR00103267	all	BR00103267	cmQTL1-4_mt	M08	5000	B	6
M09	243	BR00103267	all	BR00103267	cmQTL1-4_mt	M09	10000	A	6
M10	354	BR00103267	all	BR00103267	cmQTL1-4_mt	M10	10000	A	6
M11	306	BR00103267	all	BR00103267	cmQTL1-4_mt	M11	5000	F	6
M12	280	BR00103267	all	BR00103267	cmQTL1-4_mt	M12	5000	F	6
M13	279	BR00103267	all	BR00103267	cmQTL1-4_mt	M13	20000	E	6
M14	481	BR00103267	all	BR00103267	cmQTL1-4_mt	M14	20000	E	6
M15	513	BR00103267	all	BR00103267	cmQTL1-4_mt	M15	20000	C	6
M16	766	BR00103267	all	BR00103267	cmQTL1-4_mt	M16	20000	C	6
M17	459	BR00103267	all	BR00103267	cmQTL1-4_mt	M17	20000	B	6
M18	751	BR00103267	all	BR00103267	cmQTL1-4_mt	M18	20000	B	6
M19	241	BR00103267	all	BR00103267	cmQTL1-4_mt	M19	20000	D	6
M20	671	BR00103267	all	BR00103267	cmQTL1-4_mt	M20	20000	D	6
M21	876	BR00103267	all	BR00103267	cmQTL1-4_mt	M21	20000	C	6
M22	1229	BR00103267	all	BR00103267	cmQTL1-4_mt	M22	20000	C	6
M23	256	BR00103267	all	BR00103267	cmQTL1-4_mt	M23	15000	E	6
M24	341	BR00103267	all	BR00103267	cmQTL1-4_mt	M24	15000	E	6
N01	779	BR00103267	all	BR00103267	cmQTL1-4_mt	N01	10000	B	6
N02	871	BR00103267	all	BR00103267	cmQTL1-4_mt	N02	10000	B	6
N03	1178	BR00103267	all	BR00103267	cmQTL1-4_mt	N03	20000	A	6
N04	1470	BR00103267	all	BR00103267	cmQTL1-4_mt	N04	20000	A	6
N05	299	BR00103267	all	BR00103267	cmQTL1-4_mt	N05	5000	A	6
N06	393	BR00103267	all	BR00103267	cmQTL1-4_mt	N06	5000	A	6
N07	347	BR00103267	all	BR00103267	cmQTL1-4_mt	N07	5000	B	6
N08	456	BR00103267	all	BR00103267	cmQTL1-4_mt	N08	5000	B	6
N09	632	BR00103267	all	BR00103267	cmQTL1-4_mt	N09	10000	A	6
N10	740	BR00103267	all	BR00103267	cmQTL1-4_mt	N10	10000	A	6
N11	612	BR00103267	all	BR00103267	cmQTL1-4_mt	N11	5000	F	6
N12	918	BR00103267	all	BR00103267	cmQTL1-4_mt	N12	5000	F	6
N13	830	BR00103267	all	BR00103267	cmQTL1-4_mt	N13	20000	E	6
N14	937	BR00103267	all	BR00103267	cmQTL1-4_mt	N14	20000	E	6
N15	1373	BR00103267	all	BR00103267	cmQTL1-4_mt	N15	20000	C	6
N16	1754	BR00103267	all	BR00103267	cmQTL1-4_mt	N16	20000	C	6
N17	1027	BR00103267	all	BR00103267	cmQTL1-4_mt	N17	20000	B	6
N18	1619	BR00103267	all	BR00103267	cmQTL1-4_mt	N18	20000	B	6
N19	894	BR00103267	all	BR00103267	cmQTL1-4_mt	N19	20000	D	6
N20	2167	BR00103267	all	BR00103267	cmQTL1-4_mt	N20	20000	D	6
N21	1526	BR00103267	all	BR00103267	cmQTL1-4_mt	N21	20000	C	6
N22	1756	BR00103267	all	BR00103267	cmQTL1-4_mt	N22	20000	C	6
