Metadata_profile_type	Metadata_timepoint	Metadata_plating_density	median_ks	low_ks	high_ks
all	6	10000	0.8586614173228346	0.439247311827957	0.924031007751938
all	6	15000	0.7532051282051283	0.3296178343949045	0.9653846153846154
all	6	20000	0.6605889724310776	0.5503205128205128	1
isolated	6	20000	0.6558743169398907	0.18365384615384614	0.9727987421383647
colony	6	10000	0.6497175141242938	0.2611012956419317	0.6643939393939393
all	6	5000	0.6308558558558559	0.43190184049079755	0.9368279569892474
isolated	6	5000	0.6058558558558559	0.4116564417177914	0.907020997375328
isolated	6	15000	0.5572115384615385	0.3428874734607219	0.8919871794871794
isolated	6	10000	0.5234293193717278	0.3024193548387097	0.8457364341085272
all	24	2000	0.4838235294117647	0.23571428571428577	0.7457364341085271
colony	6	15000	0.40985477178423235	0.049652777777777754	0.8363914373088686
all	24	3000	0.40225988700564974	0.11066878980891724	0.5948717948717949
all	24	4000	0.39487179487179486	0.17142857142857149	0.7887578616352201
colony	6	20000	0.38474025974025977	0.19227053140096617	0.8240000000000001
isolated	24	2000	0.35833333333333334	0.20335497835497843	0.4131782945736434
colony	24	3000	0.356638418079096	0.02387005649717515	0.5935355630455449
colony	24	4000	0.3004784688995215	0.14666666666666667	0.8052631578947368
colony	6	5000	0.27173191771731914	0.19862234201856843	0.6734741784037559
isolated	24	4000	0.24139344262295084	0.16923558897243104	0.5492138364779874
colony	24	1000	0.2073899371069182	0.1314780457637601	0.5817142857142857
all	24	1000	0.20204498977505114	0.1668918918918919	0.6344488188976378
colony	24	2000	0.19324236971295797	0.12026862026862026	0.6863905325443787
isolated	24	3000	0.1843220338983051	0.08653846153846159	0.36666666666666664
isolated	24	1000	0.17879901960784314	0.12882882882882887	0.5446236559139785
