plate_map_name	well_position	plating_density	line_ID	timepoint
cmQTL1-4_mt	A01	5000	A	6
cmQTL1-4_mt	A02	5000	A	6
cmQTL1-4_mt	A03	15000	B	6
cmQTL1-4_mt	A04	15000	B	6
cmQTL1-4_mt	A05	5000	E	6
cmQTL1-4_mt	A06	5000	E	6
cmQTL1-4_mt	A07	10000	C	6
cmQTL1-4_mt	A08	10000	C	6
cmQTL1-4_mt	A09	20000	D	6
cmQTL1-4_mt	A10	20000	D	6
cmQTL1-4_mt	A11	10000	E	6
cmQTL1-4_mt	A12	10000	E	6
cmQTL1-4_mt	A13	15000	A	6
cmQTL1-4_mt	A14	15000	A	6
cmQTL1-4_mt	A15	10000	B	6
cmQTL1-4_mt	A16	10000	B	6
cmQTL1-4_mt	A17	20000	C	6
cmQTL1-4_mt	A18	20000	C	6
cmQTL1-4_mt	A19	15000	B	6
cmQTL1-4_mt	A20	15000	B	6
cmQTL1-4_mt	A21	15000	C	6
cmQTL1-4_mt	A22	15000	C	6
cmQTL1-4_mt	A23	20000	A	6
cmQTL1-4_mt	A24	20000	A	6
cmQTL1-4_mt	B01	5000	A	6
cmQTL1-4_mt	B02	5000	A	6
cmQTL1-4_mt	B03	15000	B	6
cmQTL1-4_mt	B04	15000	B	6
cmQTL1-4_mt	B05	5000	E	6
cmQTL1-4_mt	B06	5000	E	6
cmQTL1-4_mt	B07	10000	C	6
cmQTL1-4_mt	B08	10000	C	6
cmQTL1-4_mt	B09	20000	D	6
cmQTL1-4_mt	B10	20000	D	6
cmQTL1-4_mt	B11	10000	E	6
cmQTL1-4_mt	B12	10000	E	6
cmQTL1-4_mt	B13	15000	A	6
cmQTL1-4_mt	B14	15000	A	6
cmQTL1-4_mt	B15	10000	B	6
cmQTL1-4_mt	B16	10000	B	6
cmQTL1-4_mt	B17	20000	C	6
cmQTL1-4_mt	B18	20000	C	6
cmQTL1-4_mt	B19	15000	B	6
cmQTL1-4_mt	B20	15000	B	6
cmQTL1-4_mt	B21	15000	C	6
cmQTL1-4_mt	B22	15000	C	6
cmQTL1-4_mt	B23	20000	A	6
cmQTL1-4_mt	B24	20000	A	6
cmQTL1-4_mt	C01	5000	C	6
cmQTL1-4_mt	C02	5000	C	6
cmQTL1-4_mt	C03	10000	D	6
cmQTL1-4_mt	C04	10000	D	6
cmQTL1-4_mt	C05	5000	B	6
cmQTL1-4_mt	C06	5000	B	6
cmQTL1-4_mt	C07	10000	A	6
cmQTL1-4_mt	C08	10000	A	6
cmQTL1-4_mt	C09	20000	B	6
cmQTL1-4_mt	C10	20000	B	6
cmQTL1-4_mt	C11	15000	F	6
cmQTL1-4_mt	C12	15000	F	6
cmQTL1-4_mt	C13	5000	D	6
cmQTL1-4_mt	C14	5000	D	6
cmQTL1-4_mt	C15	20000	F	6
cmQTL1-4_mt	C16	20000	F	6
cmQTL1-4_mt	C17	10000	D	6
cmQTL1-4_mt	C18	10000	D	6
cmQTL1-4_mt	C19	5000	A	6
cmQTL1-4_mt	C20	5000	A	6
cmQTL1-4_mt	C21	10000	E	6
cmQTL1-4_mt	C22	10000	E	6
cmQTL1-4_mt	C23	20000	D	6
cmQTL1-4_mt	C24	20000	D	6
cmQTL1-4_mt	D01	5000	C	6
cmQTL1-4_mt	D02	5000	C	6
cmQTL1-4_mt	D03	10000	D	6
cmQTL1-4_mt	D04	10000	D	6
cmQTL1-4_mt	D05	5000	B	6
cmQTL1-4_mt	D06	5000	B	6
cmQTL1-4_mt	D07	10000	A	6
cmQTL1-4_mt	D08	10000	A	6
cmQTL1-4_mt	D09	20000	B	6
cmQTL1-4_mt	D10	20000	B	6
cmQTL1-4_mt	D11	15000	F	6
cmQTL1-4_mt	D12	15000	F	6
cmQTL1-4_mt	D13	5000	D	6
cmQTL1-4_mt	D14	5000	D	6
cmQTL1-4_mt	D15	20000	F	6
cmQTL1-4_mt	D16	20000	F	6
cmQTL1-4_mt	D17	10000	D	6
cmQTL1-4_mt	D18	10000	D	6
cmQTL1-4_mt	D19	5000	A	6
cmQTL1-4_mt	D20	5000	A	6
cmQTL1-4_mt	D21	10000	E	6
cmQTL1-4_mt	D22	10000	E	6
cmQTL1-4_mt	D23	20000	D	6
cmQTL1-4_mt	D24	20000	D	6
cmQTL1-4_mt	E01	5000	D	6
cmQTL1-4_mt	E02	5000	D	6
cmQTL1-4_mt	E03	20000	B	6
cmQTL1-4_mt	E04	20000	B	6
cmQTL1-4_mt	E05	20000	F	6
cmQTL1-4_mt	E06	20000	F	6
cmQTL1-4_mt	E07	15000	E	6
cmQTL1-4_mt	E08	15000	E	6
cmQTL1-4_mt	E09	10000	F	6
cmQTL1-4_mt	E10	10000	F	6
cmQTL1-4_mt	E11	20000	A	6
cmQTL1-4_mt	E12	20000	A	6
cmQTL1-4_mt	E13	10000	B	6
cmQTL1-4_mt	E14	10000	B	6
cmQTL1-4_mt	E15	5000	E	6
cmQTL1-4_mt	E16	5000	E	6
cmQTL1-4_mt	E17	10000	F	6
cmQTL1-4_mt	E18	10000	F	6
cmQTL1-4_mt	E19	10000	C	6
cmQTL1-4_mt	E20	10000	C	6
cmQTL1-4_mt	E21	5000	B	6
cmQTL1-4_mt	E22	5000	B	6
cmQTL1-4_mt	E23	20000	B	6
cmQTL1-4_mt	E24	20000	B	6
cmQTL1-4_mt	F01	5000	D	6
cmQTL1-4_mt	F02	5000	D	6
cmQTL1-4_mt	F03	20000	B	6
cmQTL1-4_mt	F04	20000	B	6
cmQTL1-4_mt	F05	20000	F	6
cmQTL1-4_mt	F06	20000	F	6
cmQTL1-4_mt	F07	15000	E	6
cmQTL1-4_mt	F08	15000	E	6
cmQTL1-4_mt	F09	10000	F	6
cmQTL1-4_mt	F10	10000	F	6
