plate_map_name	well_position	plating_density	line_ID	timepoint
cmQTL5-8_mt	A01	1000	A	24
cmQTL5-8_mt	A02	1000	A	24
cmQTL5-8_mt	A03	3000	B	24
cmQTL5-8_mt	A04	3000	B	24
cmQTL5-8_mt	A05	1000	E	24
cmQTL5-8_mt	A06	1000	E	24
cmQTL5-8_mt	A07	2000	C	24
cmQTL5-8_mt	A08	2000	C	24
cmQTL5-8_mt	A09	4000	D	24
cmQTL5-8_mt	A10	4000	D	24
cmQTL5-8_mt	A11	2000	E	24
cmQTL5-8_mt	A12	2000	E	24
cmQTL5-8_mt	A13	3000	A	24
cmQTL5-8_mt	A14	3000	A	24
cmQTL5-8_mt	A15	2000	B	24
cmQTL5-8_mt	A16	2000	B	24
cmQTL5-8_mt	A17	4000	C	24
cmQTL5-8_mt	A18	4000	C	24
cmQTL5-8_mt	A19	3000	B	24
cmQTL5-8_mt	A20	3000	B	24
cmQTL5-8_mt	A21	3000	C	24
cmQTL5-8_mt	A22	3000	C	24
cmQTL5-8_mt	A23	4000	A	24
cmQTL5-8_mt	A24	4000	A	24
cmQTL5-8_mt	B01	1000	A	24
cmQTL5-8_mt	B02	1000	A	24
cmQTL5-8_mt	B03	3000	B	24
cmQTL5-8_mt	B04	3000	B	24
cmQTL5-8_mt	B05	1000	E	24
cmQTL5-8_mt	B06	1000	E	24
cmQTL5-8_mt	B07	2000	C	24
cmQTL5-8_mt	B08	2000	C	24
cmQTL5-8_mt	B09	4000	D	24
cmQTL5-8_mt	B10	4000	D	24
cmQTL5-8_mt	B11	2000	E	24
cmQTL5-8_mt	B12	2000	E	24
cmQTL5-8_mt	B13	3000	A	24
cmQTL5-8_mt	B14	3000	A	24
cmQTL5-8_mt	B15	2000	B	24
cmQTL5-8_mt	B16	2000	B	24
cmQTL5-8_mt	B17	4000	C	24
cmQTL5-8_mt	B18	4000	C	24
cmQTL5-8_mt	B19	3000	B	24
cmQTL5-8_mt	B20	3000	B	24
cmQTL5-8_mt	B21	3000	C	24
cmQTL5-8_mt	B22	3000	C	24
cmQTL5-8_mt	B23	4000	A	24
cmQTL5-8_mt	B24	4000	A	24
cmQTL5-8_mt	C01	1000	C	24
cmQTL5-8_mt	C02	1000	C	24
cmQTL5-8_mt	C03	2000	D	24
cmQTL5-8_mt	C04	2000	D	24
cmQTL5-8_mt	C05	1000	B	24
cmQTL5-8_mt	C06	1000	B	24
cmQTL5-8_mt	C07	2000	A	24
cmQTL5-8_mt	C08	2000	A	24
cmQTL5-8_mt	C09	4000	B	24
cmQTL5-8_mt	C10	4000	B	24
cmQTL5-8_mt	C11	3000	F	24
cmQTL5-8_mt	C12	3000	F	24
cmQTL5-8_mt	C13	1000	D	24
cmQTL5-8_mt	C14	1000	D	24
cmQTL5-8_mt	C15	4000	F	24
cmQTL5-8_mt	C16	4000	F	24
cmQTL5-8_mt	C17	2000	D	24
cmQTL5-8_mt	C18	2000	D	24
cmQTL5-8_mt	C19	1000	A	24
cmQTL5-8_mt	C20	1000	A	24
cmQTL5-8_mt	C21	2000	E	24
cmQTL5-8_mt	C22	2000	E	24
cmQTL5-8_mt	C23	4000	D	24
cmQTL5-8_mt	C24	4000	D	24
cmQTL5-8_mt	D01	1000	C	24
cmQTL5-8_mt	D02	1000	C	24
cmQTL5-8_mt	D03	2000	D	24
cmQTL5-8_mt	D04	2000	D	24
cmQTL5-8_mt	D05	1000	B	24
