Metadata_Plate,Metadata_Well,Metadata_Channel,filename,URL
cmqtlpl1.5-31-2019-mt,A24,URL_OrigDNA,r01c24f04p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r01c24f04p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,A24,URL_OrigDNA,r01c24f05p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r01c24f05p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,A24,URL_OrigDNA,r01c24f06p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r01c24f06p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,A24,URL_OrigDNA,r01c24f07p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r01c24f07p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,A24,URL_OrigDNA,r01c24f08p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r01c24f08p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,A24,URL_OrigDNA,r01c24f09p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r01c24f09p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B03,URL_OrigDNA,r02c03f01p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c03f01p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B03,URL_OrigDNA,r02c03f02p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c03f02p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B03,URL_OrigDNA,r02c03f03p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c03f03p01-ch5sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B03,URL_OrigDNA,r02c03f04p01-ch5sk1fk1fl1.tiff,https://s3.amazonaws.com/imaging-platform/projects/2018_06_05_cmQTL/2019_06_10_Batch3/images/cmqtlpl1.5-31-2019-mt__2019-06-10T16_42_36-Measurement2/Images/r02c03f04p01-ch5sk1fk1fl1.tiff
