Metadata_Plate,Metadata_Well,Count_Cells
cmqtlpl1.5-31-2019-mt,A01,105
cmqtlpl1.5-31-2019-mt,A01,105
cmqtlpl1.5-31-2019-mt,A01,110
cmqtlpl1.5-31-2019-mt,A01,147
cmqtlpl1.5-31-2019-mt,A01,172
cmqtlpl1.5-31-2019-mt,A01,182
cmqtlpl1.5-31-2019-mt,A01,207
cmqtlpl1.5-31-2019-mt,A01,65
cmqtlpl1.5-31-2019-mt,A01,84
cmqtlpl1.5-31-2019-mt,A02,101
cmqtlpl1.5-31-2019-mt,A02,120
cmqtlpl1.5-31-2019-mt,A02,149
cmqtlpl1.5-31-2019-mt,A02,167
cmqtlpl1.5-31-2019-mt,A02,185
cmqtlpl1.5-31-2019-mt,A02,217
cmqtlpl1.5-31-2019-mt,A02,221
cmqtlpl1.5-31-2019-mt,A02,230
cmqtlpl1.5-31-2019-mt,A02,245
cmqtlpl1.5-31-2019-mt,A03,278
cmqtlpl1.5-31-2019-mt,A03,288
cmqtlpl1.5-31-2019-mt,A03,293
cmqtlpl1.5-31-2019-mt,A03,301
cmqtlpl1.5-31-2019-mt,A03,308
cmqtlpl1.5-31-2019-mt,A03,309
cmqtlpl1.5-31-2019-mt,A03,311
cmqtlpl1.5-31-2019-mt,A03,340
cmqtlpl1.5-31-2019-mt,A03,343
cmqtlpl1.5-31-2019-mt,A04,154
cmqtlpl1.5-31-2019-mt,A04,180
cmqtlpl1.5-31-2019-mt,A04,190
cmqtlpl1.5-31-2019-mt,A04,223
cmqtlpl1.5-31-2019-mt,A04,255
cmqtlpl1.5-31-2019-mt,A04,257
cmqtlpl1.5-31-2019-mt,A04,278
cmqtlpl1.5-31-2019-mt,A04,302
cmqtlpl1.5-31-2019-mt,A04,317
cmqtlpl1.5-31-2019-mt,A05,177
cmqtlpl1.5-31-2019-mt,A05,257
cmqtlpl1.5-31-2019-mt,A05,261
cmqtlpl1.5-31-2019-mt,A05,268
cmqtlpl1.5-31-2019-mt,A05,271
cmqtlpl1.5-31-2019-mt,A05,282
cmqtlpl1.5-31-2019-mt,A05,304
cmqtlpl1.5-31-2019-mt,A05,443
cmqtlpl1.5-31-2019-mt,A05,444
cmqtlpl1.5-31-2019-mt,A06,146
cmqtlpl1.5-31-2019-mt,A06,147
cmqtlpl1.5-31-2019-mt,A06,164
cmqtlpl1.5-31-2019-mt,A06,174
cmqtlpl1.5-31-2019-mt,A06,209
cmqtlpl1.5-31-2019-mt,A06,225
