Metadata_Plate,Metadata_Well,Metadata_Row,Metadata_FieldID,Metadata_Assay_Plate_Barcode,Metadata_Plate_Map_Name,Metadata_well_position,Metadata_plating_density,Metadata_line_ID,FileName_OrigDNA,FileName_OrigER,FileName_OrigRNA,FileName_OrigAGP,FileName_OrigMito
cmqtlpl1.5-31-2019-mt,A12,1,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,A12,10000,34,r01c12f05p01-ch5sk1fk1fl1.tiff,r01c12f05p01-ch4sk1fk1fl1.tiff,r01c12f05p01-ch3sk1fk1fl1.tiff,r01c12f05p01-ch2sk1fk1fl1.tiff,r01c12f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,A18,1,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,A18,10000,2,r01c18f05p01-ch5sk1fk1fl1.tiff,r01c18f05p01-ch4sk1fk1fl1.tiff,r01c18f05p01-ch3sk1fk1fl1.tiff,r01c18f05p01-ch2sk1fk1fl1.tiff,r01c18f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,A20,1,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,A20,10000,16,r01c20f05p01-ch5sk1fk1fl1.tiff,r01c20f05p01-ch4sk1fk1fl1.tiff,r01c20f05p01-ch3sk1fk1fl1.tiff,r01c20f05p01-ch2sk1fk1fl1.tiff,r01c20f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B07,2,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,B07,10000,26,r02c07f05p01-ch5sk1fk1fl1.tiff,r02c07f05p01-ch4sk1fk1fl1.tiff,r02c07f05p01-ch3sk1fk1fl1.tiff,r02c07f05p01-ch2sk1fk1fl1.tiff,r02c07f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B10,2,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,B10,10000,4,r02c10f05p01-ch5sk1fk1fl1.tiff,r02c10f05p01-ch4sk1fk1fl1.tiff,r02c10f05p01-ch3sk1fk1fl1.tiff,r02c10f05p01-ch2sk1fk1fl1.tiff,r02c10f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,B24,2,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,B24,10000,12,r02c24f05p01-ch5sk1fk1fl1.tiff,r02c24f05p01-ch4sk1fk1fl1.tiff,r02c24f05p01-ch3sk1fk1fl1.tiff,r02c24f05p01-ch2sk1fk1fl1.tiff,r02c24f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,C04,3,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,C04,10000,39,r03c04f05p01-ch5sk1fk1fl1.tiff,r03c04f05p01-ch4sk1fk1fl1.tiff,r03c04f05p01-ch3sk1fk1fl1.tiff,r03c04f05p01-ch2sk1fk1fl1.tiff,r03c04f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,C23,3,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,C23,10000,29,r03c23f05p01-ch5sk1fk1fl1.tiff,r03c23f05p01-ch4sk1fk1fl1.tiff,r03c23f05p01-ch3sk1fk1fl1.tiff,r03c23f05p01-ch2sk1fk1fl1.tiff,r03c23f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,D07,4,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,D07,10000,42,r04c07f05p01-ch5sk1fk1fl1.tiff,r04c07f05p01-ch4sk1fk1fl1.tiff,r04c07f05p01-ch3sk1fk1fl1.tiff,r04c07f05p01-ch2sk1fk1fl1.tiff,r04c07f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,D09,4,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,D09,10000,7,r04c09f05p01-ch5sk1fk1fl1.tiff,r04c09f05p01-ch4sk1fk1fl1.tiff,r04c09f05p01-ch3sk1fk1fl1.tiff,r04c09f05p01-ch2sk1fk1fl1.tiff,r04c09f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,D16,4,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,D16,10000,38,r04c16f05p01-ch5sk1fk1fl1.tiff,r04c16f05p01-ch4sk1fk1fl1.tiff,r04c16f05p01-ch3sk1fk1fl1.tiff,r04c16f05p01-ch2sk1fk1fl1.tiff,r04c16f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,D17,4,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,D17,10000,43,r04c17f05p01-ch5sk1fk1fl1.tiff,r04c17f05p01-ch4sk1fk1fl1.tiff,r04c17f05p01-ch3sk1fk1fl1.tiff,r04c17f05p01-ch2sk1fk1fl1.tiff,r04c17f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,D20,4,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,D20,10000,18,r04c20f05p01-ch5sk1fk1fl1.tiff,r04c20f05p01-ch4sk1fk1fl1.tiff,r04c20f05p01-ch3sk1fk1fl1.tiff,r04c20f05p01-ch2sk1fk1fl1.tiff,r04c20f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,E05,5,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,E05,10000,32,r05c05f05p01-ch5sk1fk1fl1.tiff,r05c05f05p01-ch4sk1fk1fl1.tiff,r05c05f05p01-ch3sk1fk1fl1.tiff,r05c05f05p01-ch2sk1fk1fl1.tiff,r05c05f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,E12,5,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,E12,10000,33,r05c12f05p01-ch5sk1fk1fl1.tiff,r05c12f05p01-ch4sk1fk1fl1.tiff,r05c12f05p01-ch3sk1fk1fl1.tiff,r05c12f05p01-ch2sk1fk1fl1.tiff,r05c12f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,E15,5,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,E15,10000,9,r05c15f05p01-ch5sk1fk1fl1.tiff,r05c15f05p01-ch4sk1fk1fl1.tiff,r05c15f05p01-ch3sk1fk1fl1.tiff,r05c15f05p01-ch2sk1fk1fl1.tiff,r05c15f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,F01,6,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,F01,10000,27,r06c01f05p01-ch5sk1fk1fl1.tiff,r06c01f05p01-ch4sk1fk1fl1.tiff,r06c01f05p01-ch3sk1fk1fl1.tiff,r06c01f05p01-ch2sk1fk1fl1.tiff,r06c01f05p01-ch1sk1fk1fl1.tiff
