id1,id2,correlation,Metadata_line_ID1,Metadata_plating_density1,Metadata_line_ID2,Metadata_plating_density2,Count_Cells1,Count_Cells2,cell_count_abs_diff,cell_count_sum
45,40,0.6438126605302892,45,10000,40,10000,1074.5,1394.5,320,2469
32,25,0.6422551927273241,32,10000,25,10000,6086.5,3228.5,2858,9315
6,1,0.6382573682064137,6,10000,1,10000,2210,1052,1158,3262
40,39,0.6382389423659768,40,10000,39,10000,1394.5,1375.5,19,2770
45,27,0.6380697330500144,45,10000,27,10000,1074.5,1683.5,609,2758
31,20,0.636745923059271,31,10000,20,10000,3363,3747,384,7110
38,15,0.6280656586691787,38,10000,15,10000,3222,3591.5,369.5,6813.5
47,40,0.6263052114441956,47,10000,40,10000,770,1394.5,624.5,2164.5
37,14,0.6245201524597472,37,10000,14,10000,1298,2670,1372,3968
21,5,0.6216661390392703,21,10000,5,10000,1749,1316,433,3065
33,25,0.6211758830150875,33,10000,25,10000,3693.5,3228.5,465,6922
48,42,0.6173804512313574,48,10000,42,10000,3278.5,2869.5,409,6148
27,11,0.6160757969503866,27,10000,11,10000,1683.5,1164,519.5,2847.5
20,15,0.6156634408849396,20,10000,15,10000,3747,3591.5,155.5,7338.5
31,17,0.6130122244350927,31,10000,17,10000,3363,2540,823,5903
46,14,0.6117216628414079,46,10000,14,10000,567.5,2670,2102.5,3237.5
39,36,0.6105436204275254,39,10000,36,10000,1375.5,1383.5,8,2759
34,29,0.6075772951929106,34,10000,29,10000,3667,4622.5,955.5,8289.5
46,21,0.6073157729988313,46,10000,21,10000,567.5,1749,1181.5,2316.5
44,15,0.6026069153518971,44,10000,15,10000,2771.5,3591.5,820,6363
11,5,0.6009893870578438,11,10000,5,10000,1164,1316,152,2480
25,12,0.6007408432992242,25,10000,12,10000,3228.5,3106,122.5,6334.5
18,9,0.6002538778485239,18,10000,9,10000,2353,2443,90,4796
20,7,0.595800498070672,20,10000,7,10000,3747,2547.5,1199.5,6294.5
27,3,0.595010413692696,27,10000,3,10000,1683.5,1562,121.5,3245.5
40,2,0.5895702150765515,40,10000,2,10000,1394.5,1831.5,437,3226
26,12,0.5873308735733787,26,10000,12,10000,2680.5,3106,425.5,5786.5
46,1,0.5829499601857034,46,10000,1,10000,567.5,1052,484.5,1619.5
43,25,0.5814309119861808,43,10000,25,10000,3754.5,3228.5,526,6983
8,4,0.5771445791611218,8,10000,4,10000,2469,3088.5,619.5,5557.5
46,30,0.5728275998559569,46,10000,30,10000,567.5,1390,822.5,1957.5
46,40,0.5718478839340077,46,10000,40,10000,567.5,1394.5,827,1962
36,2,0.5716616750588558,36,10000,2,10000,1383.5,1831.5,448,3215
27,14,0.5700244823307439,27,10000,14,10000,1683.5,2670,986.5,4353.5
21,14,0.5696800983777202,21,10000,14,10000,1749,2670,921,4419
43,6,0.5696179128485437,43,10000,6,10000,3754.5,2210,1544.5,5964.5
24,16,0.5656421301829356,24,10000,16,10000,3044,2899.5,144.5,5943.5
44,38,0.5626255171645489,44,10000,38,10000,2771.5,3222,450.5,5993.5
44,7,0.5624378158216324,44,10000,7,10000,2771.5,2547.5,224,5319
