Metadata_Plate,Metadata_Well,Metadata_Row,Metadata_FieldID,Metadata_Assay_Plate_Barcode,Metadata_Plate_Map_Name,Metadata_well_position,Metadata_plating_density,Metadata_line_ID,Metadata_Batch,FileName_OrigDNA,FileName_OrigER,FileName_OrigRNA,FileName_OrigAGP,FileName_OrigMito
cmqtlpl1.5-31-2019-mt,A03,1,1,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,A03,10000,30,2019_06_10_Batch3,r01c03f01p01-ch5sk1fk1fl1.tiff,r01c03f01p01-ch4sk1fk1fl1.tiff,r01c03f01p01-ch3sk1fk1fl1.tiff,r01c03f01p01-ch2sk1fk1fl1.tiff,r01c03f01p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,A03,1,2,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,A03,10000,30,2019_06_10_Batch3,r01c03f02p01-ch5sk1fk1fl1.tiff,r01c03f02p01-ch4sk1fk1fl1.tiff,r01c03f02p01-ch3sk1fk1fl1.tiff,r01c03f02p01-ch2sk1fk1fl1.tiff,r01c03f02p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,A03,1,3,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,A03,10000,30,2019_06_10_Batch3,r01c03f03p01-ch5sk1fk1fl1.tiff,r01c03f03p01-ch4sk1fk1fl1.tiff,r01c03f03p01-ch3sk1fk1fl1.tiff,r01c03f03p01-ch2sk1fk1fl1.tiff,r01c03f03p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,A03,1,4,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,A03,10000,30,2019_06_10_Batch3,r01c03f04p01-ch5sk1fk1fl1.tiff,r01c03f04p01-ch4sk1fk1fl1.tiff,r01c03f04p01-ch3sk1fk1fl1.tiff,r01c03f04p01-ch2sk1fk1fl1.tiff,r01c03f04p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,A03,1,5,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,A03,10000,30,2019_06_10_Batch3,r01c03f05p01-ch5sk1fk1fl1.tiff,r01c03f05p01-ch4sk1fk1fl1.tiff,r01c03f05p01-ch3sk1fk1fl1.tiff,r01c03f05p01-ch2sk1fk1fl1.tiff,r01c03f05p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,A03,1,6,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,A03,10000,30,2019_06_10_Batch3,r01c03f06p01-ch5sk1fk1fl1.tiff,r01c03f06p01-ch4sk1fk1fl1.tiff,r01c03f06p01-ch3sk1fk1fl1.tiff,r01c03f06p01-ch2sk1fk1fl1.tiff,r01c03f06p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,A03,1,7,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,A03,10000,30,2019_06_10_Batch3,r01c03f07p01-ch5sk1fk1fl1.tiff,r01c03f07p01-ch4sk1fk1fl1.tiff,r01c03f07p01-ch3sk1fk1fl1.tiff,r01c03f07p01-ch2sk1fk1fl1.tiff,r01c03f07p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,A03,1,8,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,A03,10000,30,2019_06_10_Batch3,r01c03f08p01-ch5sk1fk1fl1.tiff,r01c03f08p01-ch4sk1fk1fl1.tiff,r01c03f08p01-ch3sk1fk1fl1.tiff,r01c03f08p01-ch2sk1fk1fl1.tiff,r01c03f08p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,A03,1,9,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,A03,10000,30,2019_06_10_Batch3,r01c03f09p01-ch5sk1fk1fl1.tiff,r01c03f09p01-ch4sk1fk1fl1.tiff,r01c03f09p01-ch3sk1fk1fl1.tiff,r01c03f09p01-ch2sk1fk1fl1.tiff,r01c03f09p01-ch1sk1fk1fl1.tiff
cmqtlpl1.5-31-2019-mt,A04,1,1,cmqtlpl1.5-31-2019-mt,cmQTL_plate1_5.31.2019,A04,10000,30,2019_06_10_Batch3,r01c04f01p01-ch5sk1fk1fl1.tiff,r01c04f01p01-ch4sk1fk1fl1.tiff,r01c04f01p01-ch3sk1fk1fl1.tiff,r01c04f01p01-ch2sk1fk1fl1.tiff,r01c04f01p01-ch1sk1fk1fl1.tiff
