id1,id2,correlation,Metadata_line_ID1,Metadata_plating_density1,Metadata_line_ID2,Metadata_plating_density2,Count_Cells1,Count_Cells2,cell_count_abs_diff,cell_count_sum
39,37,0.8644606693878489,39,10000,37,10000,1375.5,1298,77.5,2673.5
43,34,0.8516517963660246,43,10000,34,10000,3754.5,3667,87.5,7421.5
31,4,0.8363123921253203,31,10000,4,10000,3363,3088.5,274.5,6451.5
7,4,0.8211338330198786,7,10000,4,10000,2547.5,3088.5,541,5636
8,7,0.8062663473282388,8,10000,7,10000,2469,2547.5,78.5,5016.5
37,11,0.7910090134490235,37,10000,11,10000,1298,1164,134,2462
5,1,0.7820035858049059,5,10000,1,10000,1316,1052,264,2368
23,12,0.7638605732631756,23,10000,12,10000,3597.5,3106,491.5,6703.5
43,12,0.7599491288106042,43,10000,12,10000,3754.5,3106,648.5,6860.5
31,7,0.7565429512398494,31,10000,7,10000,3363,2547.5,815.5,5910.5
36,30,0.7538916499897553,36,10000,30,10000,1383.5,1390,6.5,2773.5
34,23,0.7532728373385024,34,10000,23,10000,3667,3597.5,69.5,7264.5
31,15,0.7501855612223048,31,10000,15,10000,3363,3591.5,228.5,6954.5
45,39,0.7492142152340563,45,10000,39,10000,1074.5,1375.5,301,2450
45,37,0.7471513515533811,45,10000,37,10000,1074.5,1298,223.5,2372.5
45,11,0.7450013026071747,45,10000,11,10000,1074.5,1164,89.5,2238.5
39,5,0.743136537078458,39,10000,5,10000,1375.5,1316,59.5,2691.5
26,23,0.7430957403955608,26,10000,23,10000,2680.5,3597.5,917,6278
20,4,0.7417803907641681,20,10000,4,10000,3747,3088.5,658.5,6835.5
15,7,0.7390921205921112,15,10000,7,10000,3591.5,2547.5,1044,6139
34,12,0.7314000403486473,34,10000,12,10000,3667,3106,561,6773
43,23,0.7240938783875638,43,10000,23,10000,3754.5,3597.5,157,7352
15,4,0.7216799600611276,15,10000,4,10000,3591.5,3088.5,503,6680
37,27,0.7100755986698162,37,10000,27,10000,1298,1683.5,385.5,2981.5
34,25,0.70523100893428,34,10000,25,10000,3667,3228.5,438.5,6895.5
40,11,0.7028594118020614,40,10000,11,10000,1394.5,1164,230.5,2558.5
39,27,0.7017214232518549,39,10000,27,10000,1375.5,1683.5,308,3059
