name,number_of_na
Nuclei_Correlation_Costes_AGP_Mito,340
Cells_Correlation_Costes_ER_Mito,328
Cytoplasm_Correlation_Costes_ER_Mito,328
Cytoplasm_Correlation_Costes_AGP_Mito,319
Nuclei_Correlation_Costes_Mito_AGP,317
Nuclei_Correlation_Costes_RNA_Mito,314
Nuclei_Correlation_Costes_ER_Mito,313
Cells_Correlation_Costes_RNA_Mito,303
Cells_Correlation_Costes_AGP_Mito,302
Cytoplasm_Correlation_Costes_Mito_AGP,292
Cytoplasm_Correlation_Costes_RNA_Mito,291
Cells_Correlation_Costes_Mito_AGP,282
Cytoplasm_Correlation_Costes_Mito_ER,266
Nuclei_Correlation_Costes_Mito_ER,257
Cells_Correlation_Costes_Mito_ER,254
Nuclei_Correlation_Costes_Mito_RNA,226
Cells_Correlation_Costes_Mito_RNA,197
Cytoplasm_Correlation_Costes_Mito_RNA,191
Cytoplasm_Correlation_Costes_DNA_ER,129
Nuclei_Correlation_Costes_ER_DNA,32
Nuclei_Correlation_Costes_ER_Brightfield,31
Cytoplasm_Correlation_Costes_ER_Brightfield,24
Cells_Correlation_Costes_ER_Brightfield,23
Cytoplasm_Correlation_Costes_ER_DNA,16
Cells_Correlation_Costes_ER_DNA,13
Cells_Correlation_K_DNA_Mito,12
Cells_Correlation_K_Mito_DNA,12
Cells_Correlation_Overlap_DNA_Mito,12
Nuclei_Correlation_Costes_RNA_DNA,11
Cytoplasm_Correlation_Costes_RNA_Brightfield,10
Nuclei_Neighbors_AngleBetweenNeighbors_2,9
Nuclei_Neighbors_SecondClosestDistance_2,9
Cells_Location_Center_X,9
Cells_Location_Center_Y,9
Cells_Location_Center_Z,9
Cells_Texture_AngularSecondMoment_AGP_10_00,9
Cells_Texture_AngularSecondMoment_AGP_10_01,9
Cells_Texture_AngularSecondMoment_AGP_10_02,9
Cells_Texture_AngularSecondMoment_AGP_10_03,9
Cells_Texture_AngularSecondMoment_AGP_20_00,9
Cells_Texture_AngularSecondMoment_AGP_20_01,9
Cells_Texture_AngularSecondMoment_AGP_20_02,9
Cells_Texture_AngularSecondMoment_AGP_20_03,9
Cells_Texture_AngularSecondMoment_AGP_5_00,9
Cells_Texture_AngularSecondMoment_AGP_5_01,9
Cells_Texture_AngularSecondMoment_AGP_5_02,9
Cells_Texture_AngularSecondMoment_AGP_5_03,9
Cells_Texture_AngularSecondMoment_Brightfield_10_00,9
Cells_Texture_AngularSecondMoment_Brightfield_10_01,9
Cells_Texture_AngularSecondMoment_Brightfield_10_02,9
Cells_Texture_AngularSecondMoment_Brightfield_10_03,9
Cells_Texture_AngularSecondMoment_Brightfield_20_00,9
Cells_Texture_AngularSecondMoment_Brightfield_20_01,9
Cells_Texture_AngularSecondMoment_Brightfield_20_02,9
Cells_Texture_AngularSecondMoment_Brightfield_20_03,9
Cells_Texture_AngularSecondMoment_Brightfield_5_00,9
Cells_Texture_AngularSecondMoment_Brightfield_5_01,9
Cells_Texture_AngularSecondMoment_Brightfield_5_02,9
Cells_Texture_AngularSecondMoment_Brightfield_5_03,9
Cells_Texture_AngularSecondMoment_DNA_10_00,9
Cells_Texture_AngularSecondMoment_DNA_10_01,9
Cells_Texture_AngularSecondMoment_DNA_10_02,9
Cells_Texture_AngularSecondMoment_DNA_10_03,9
Cells_Texture_AngularSecondMoment_DNA_20_00,9
Cells_Texture_AngularSecondMoment_DNA_20_01,9
Cells_Texture_AngularSecondMoment_DNA_20_02,9
Cells_Texture_AngularSecondMoment_DNA_20_03,9
Cells_Texture_AngularSecondMoment_DNA_5_00,9
Cells_Texture_AngularSecondMoment_DNA_5_01,9
Cells_Texture_AngularSecondMoment_DNA_5_02,9
Cells_Texture_AngularSecondMoment_DNA_5_03,9
Cells_Texture_AngularSecondMoment_ER_10_00,9
Cells_Texture_AngularSecondMoment_ER_10_01,9
Cells_Texture_AngularSecondMoment_ER_10_02,9
Cells_Texture_AngularSecondMoment_ER_10_03,9
Cells_Texture_AngularSecondMoment_ER_20_00,9
Cells_Texture_AngularSecondMoment_ER_20_01,9
Cells_Texture_AngularSecondMoment_ER_20_02,9
Cells_Texture_AngularSecondMoment_ER_20_03,9
Cells_Texture_AngularSecondMoment_ER_5_00,9
Cells_Texture_AngularSecondMoment_ER_5_01,9
Cells_Texture_AngularSecondMoment_ER_5_02,9
Cells_Texture_AngularSecondMoment_ER_5_03,9
Cells_Texture_AngularSecondMoment_Mito_10_00,9
Cells_Texture_AngularSecondMoment_Mito_10_01,9
Cells_Texture_AngularSecondMoment_Mito_10_02,9
Cells_Texture_AngularSecondMoment_Mito_10_03,9
Cells_Texture_AngularSecondMoment_Mito_20_00,9
Cells_Texture_AngularSecondMoment_Mito_20_01,9
Cells_Texture_AngularSecondMoment_Mito_20_02,9
Cells_Texture_AngularSecondMoment_Mito_20_03,9
Cells_Texture_AngularSecondMoment_Mito_5_00,9
Cells_Texture_AngularSecondMoment_Mito_5_01,9
Cells_Texture_AngularSecondMoment_Mito_5_02,9
Cells_Texture_AngularSecondMoment_Mito_5_03,9
Cells_Texture_AngularSecondMoment_RNA_10_00,9
Cells_Texture_AngularSecondMoment_RNA_10_01,9
Cells_Texture_AngularSecondMoment_RNA_10_02,9
Cells_Texture_AngularSecondMoment_RNA_10_03,9
Cells_Texture_AngularSecondMoment_RNA_20_00,9
Cells_Texture_AngularSecondMoment_RNA_20_01,9
Cells_Texture_AngularSecondMoment_RNA_20_02,9
Cells_Texture_AngularSecondMoment_RNA_20_03,9
Cells_Texture_AngularSecondMoment_RNA_5_00,9
Cells_Texture_AngularSecondMoment_RNA_5_01,9
Cells_Texture_AngularSecondMoment_RNA_5_02,9
Cells_Texture_AngularSecondMoment_RNA_5_03,9
Cells_Texture_Contrast_AGP_10_00,9
Cells_Texture_Contrast_AGP_10_01,9
Cells_Texture_Contrast_AGP_10_02,9
Cells_Texture_Contrast_AGP_10_03,9
Cells_Texture_Contrast_AGP_20_00,9
Cells_Texture_Contrast_AGP_20_01,9
Cells_Texture_Contrast_AGP_20_02,9
Cells_Texture_Contrast_AGP_20_03,9
