plate_map_name	well_position	sample_id	plating_density	target_gene
cmQTL_CRISPRi_plate1	A01	1	5000	WASF2
cmQTL_CRISPRi_plate1	A02	1	5000	WASF2
cmQTL_CRISPRi_plate1	A03	11	5000	CONTROL
cmQTL_CRISPRi_plate1	A04	11	5000	CONTROL
cmQTL_CRISPRi_plate1	A05	8	5000	KCNK6
cmQTL_CRISPRi_plate1	A06	8	5000	KCNK6
cmQTL_CRISPRi_plate1	A07	2	5000	WASF2
cmQTL_CRISPRi_plate1	A08	2	5000	WASF2
cmQTL_CRISPRi_plate1	A09	12	5000	CONTROL
cmQTL_CRISPRi_plate1	A10	12	5000	CONTROL
cmQTL_CRISPRi_plate1	A11	3	5000	PRLR
cmQTL_CRISPRi_plate1	A12	3	5000	PRLR
cmQTL_CRISPRi_plate1	A13	11	5000	CONTROL
cmQTL_CRISPRi_plate1	A14	11	5000	CONTROL
cmQTL_CRISPRi_plate1	A15	12	5000	CONTROL
cmQTL_CRISPRi_plate1	A16	12	5000	CONTROL
cmQTL_CRISPRi_plate1	A17	3	5000	PRLR
cmQTL_CRISPRi_plate1	A18	3	5000	PRLR
cmQTL_CRISPRi_plate1	A19	10	5000	ZNF436
cmQTL_CRISPRi_plate1	A20	10	5000	ZNF436
cmQTL_CRISPRi_plate1	A21	6	5000	TSPAN15
cmQTL_CRISPRi_plate1	A22	6	5000	TSPAN15
cmQTL_CRISPRi_plate1	A23	2	5000	WASF2
cmQTL_CRISPRi_plate1	A24	2	5000	WASF2
cmQTL_CRISPRi_plate1	B01	1	5000	WASF2
cmQTL_CRISPRi_plate1	B02	1	5000	WASF2
cmQTL_CRISPRi_plate1	B03	11	5000	CONTROL
cmQTL_CRISPRi_plate1	B04	11	5000	CONTROL
cmQTL_CRISPRi_plate1	B05	8	5000	KCNK6
cmQTL_CRISPRi_plate1	B06	8	5000	KCNK6
cmQTL_CRISPRi_plate1	B07	2	5000	WASF2
cmQTL_CRISPRi_plate1	B08	2	5000	WASF2
cmQTL_CRISPRi_plate1	B09	12	5000	CONTROL
cmQTL_CRISPRi_plate1	B10	12	5000	CONTROL
cmQTL_CRISPRi_plate1	B11	3	5000	PRLR
cmQTL_CRISPRi_plate1	B12	3	5000	PRLR
cmQTL_CRISPRi_plate1	B13	11	5000	CONTROL
cmQTL_CRISPRi_plate1	B14	11	5000	CONTROL
cmQTL_CRISPRi_plate1	B15	12	5000	CONTROL
cmQTL_CRISPRi_plate1	B16	12	5000	CONTROL
cmQTL_CRISPRi_plate1	B17	3	5000	PRLR
cmQTL_CRISPRi_plate1	B18	3	5000	PRLR
cmQTL_CRISPRi_plate1	B19	10	5000	ZNF436
cmQTL_CRISPRi_plate1	B20	10	5000	ZNF436
cmQTL_CRISPRi_plate1	B21	6	5000	TSPAN15
cmQTL_CRISPRi_plate1	B22	6	5000	TSPAN15
cmQTL_CRISPRi_plate1	B23	2	5000	WASF2
cmQTL_CRISPRi_plate1	B24	2	5000	WASF2
cmQTL_CRISPRi_plate1	C01	6	5000	TSPAN15
cmQTL_CRISPRi_plate1	C02	6	5000	TSPAN15
cmQTL_CRISPRi_plate1	C03	9	5000	ZNF436
cmQTL_CRISPRi_plate1	C04	9	5000	ZNF436
cmQTL_CRISPRi_plate1	C05	4	5000	PRLR
cmQTL_CRISPRi_plate1	C06	4	5000	PRLR
cmQTL_CRISPRi_plate1	C07	11	5000	CONTROL
cmQTL_CRISPRi_plate1	C08	11	5000	CONTROL
cmQTL_CRISPRi_plate1	C09	7	5000	KCNK6
cmQTL_CRISPRi_plate1	C10	7	5000	KCNK6
cmQTL_CRISPRi_plate1	C11	9	5000	ZNF436
cmQTL_CRISPRi_plate1	C12	9	5000	ZNF436
cmQTL_CRISPRi_plate1	C13	1	5000	WASF2
cmQTL_CRISPRi_plate1	C14	1	5000	WASF2
cmQTL_CRISPRi_plate1	C15	6	5000	TSPAN15
cmQTL_CRISPRi_plate1	C16	6	5000	TSPAN15
cmQTL_CRISPRi_plate1	C17	5	5000	TSPAN15
cmQTL_CRISPRi_plate1	C18	5	5000	TSPAN15
cmQTL_CRISPRi_plate1	C19	2	5000	WASF2
cmQTL_CRISPRi_plate1	C20	2	5000	WASF2
cmQTL_CRISPRi_plate1	C21	7	5000	KCNK6
cmQTL_CRISPRi_plate1	C22	7	5000	KCNK6
cmQTL_CRISPRi_plate1	C23	11	5000	CONTROL
cmQTL_CRISPRi_plate1	C24	11	5000	CONTROL
cmQTL_CRISPRi_plate1	D01	6	5000	TSPAN15
cmQTL_CRISPRi_plate1	D02	6	5000	TSPAN15
cmQTL_CRISPRi_plate1	D03	9	5000	ZNF436
cmQTL_CRISPRi_plate1	D04	9	5000	ZNF436
cmQTL_CRISPRi_plate1	D05	4	5000	PRLR
cmQTL_CRISPRi_plate1	D06	4	5000	PRLR
cmQTL_CRISPRi_plate1	D07	11	5000	CONTROL
cmQTL_CRISPRi_plate1	D08	11	5000	CONTROL
cmQTL_CRISPRi_plate1	D09	7	5000	KCNK6
