plate_map_name	well_position	sample_id	plating_density	target_gene
MT_rerun_20220919	A01	1	5000	WASF2
MT_rerun_20220919	A02	1	5000	WASF2
MT_rerun_20220919	A03	11	5000	CONTROL
MT_rerun_20220919	A04	11	5000	CONTROL
MT_rerun_20220919	A05	8	5000	KCNK6
MT_rerun_20220919	A06	8	5000	KCNK6
MT_rerun_20220919	A07	2	5000	WASF2
MT_rerun_20220919	A08	2	5000	WASF2
MT_rerun_20220919	A09	12	5000	CONTROL
MT_rerun_20220919	A10	12	5000	CONTROL
MT_rerun_20220919	A11	3	5000	PRLR
MT_rerun_20220919	A12	3	5000	PRLR
MT_rerun_20220919	A13	11	5000	CONTROL
MT_rerun_20220919	A14	11	5000	CONTROL
MT_rerun_20220919	A15	12	5000	CONTROL
MT_rerun_20220919	A16	12	5000	CONTROL
MT_rerun_20220919	A17	3	5000	PRLR
MT_rerun_20220919	A18	3	5000	PRLR
MT_rerun_20220919	A19	10	5000	ZNF436
MT_rerun_20220919	A20	10	5000	ZNF436
MT_rerun_20220919	A21	6	5000	TSPAN15
MT_rerun_20220919	A22	6	5000	TSPAN15
MT_rerun_20220919	A23	2	5000	WASF2
MT_rerun_20220919	A24	2	5000	WASF2
MT_rerun_20220919	B01	1	5000	WASF2
MT_rerun_20220919	B02	1	5000	WASF2
MT_rerun_20220919	B03	11	5000	CONTROL
MT_rerun_20220919	B04	11	5000	CONTROL
MT_rerun_20220919	B05	8	5000	KCNK6
MT_rerun_20220919	B06	8	5000	KCNK6
MT_rerun_20220919	B07	2	5000	WASF2
MT_rerun_20220919	B08	2	5000	WASF2
MT_rerun_20220919	B09	12	5000	CONTROL
MT_rerun_20220919	B10	12	5000	CONTROL
MT_rerun_20220919	B11	3	5000	PRLR
MT_rerun_20220919	B12	3	5000	PRLR
MT_rerun_20220919	B13	11	5000	CONTROL
MT_rerun_20220919	B14	11	5000	CONTROL
MT_rerun_20220919	B15	12	5000	CONTROL
MT_rerun_20220919	B16	12	5000	CONTROL
MT_rerun_20220919	B17	3	5000	PRLR
MT_rerun_20220919	B18	3	5000	PRLR
MT_rerun_20220919	B19	10	5000	ZNF436
MT_rerun_20220919	B20	10	5000	ZNF436
MT_rerun_20220919	B21	6	5000	TSPAN15
MT_rerun_20220919	B22	6	5000	TSPAN15
MT_rerun_20220919	B23	2	5000	WASF2
MT_rerun_20220919	B24	2	5000	WASF2
MT_rerun_20220919	C01	6	5000	TSPAN15
MT_rerun_20220919	C02	6	5000	TSPAN15
MT_rerun_20220919	C03	9	5000	ZNF436
MT_rerun_20220919	C04	9	5000	ZNF436
MT_rerun_20220919	C05	4	5000	PRLR
MT_rerun_20220919	C06	4	5000	PRLR
MT_rerun_20220919	C07	11	5000	CONTROL
MT_rerun_20220919	C08	11	5000	CONTROL
MT_rerun_20220919	C09	7	5000	KCNK6
MT_rerun_20220919	C10	7	5000	KCNK6
MT_rerun_20220919	C11	9	5000	ZNF436
MT_rerun_20220919	C12	9	5000	ZNF436
MT_rerun_20220919	C13	1	5000	WASF2
MT_rerun_20220919	C14	1	5000	WASF2
MT_rerun_20220919	C15	6	5000	TSPAN15
MT_rerun_20220919	C16	6	5000	TSPAN15
MT_rerun_20220919	C17	5	5000	TSPAN15
MT_rerun_20220919	C18	5	5000	TSPAN15
MT_rerun_20220919	C19	2	5000	WASF2
MT_rerun_20220919	C20	2	5000	WASF2
MT_rerun_20220919	C21	7	5000	KCNK6
MT_rerun_20220919	C22	7	5000	KCNK6
MT_rerun_20220919	C23	11	5000	CONTROL
MT_rerun_20220919	C24	11	5000	CONTROL
MT_rerun_20220919	D01	6	5000	TSPAN15
MT_rerun_20220919	D02	6	5000	TSPAN15
MT_rerun_20220919	D03	9	5000	ZNF436
MT_rerun_20220919	D04	9	5000	ZNF436
MT_rerun_20220919	D05	4	5000	PRLR
MT_rerun_20220919	D06	4	5000	PRLR
MT_rerun_20220919	D07	11	5000	CONTROL
MT_rerun_20220919	D08	11	5000	CONTROL
MT_rerun_20220919	D09	7	5000	KCNK6
MT_rerun_20220919	D10	7	5000	KCNK6
MT_rerun_20220919	D11	9	5000	ZNF436
MT_rerun_20220919	D12	9	5000	ZNF436
MT_rerun_20220919	D13	1	5000	WASF2
MT_rerun_20220919	D14	1	5000	WASF2
MT_rerun_20220919	D15	6	5000	TSPAN15
MT_rerun_20220919	D16	6	5000	TSPAN15
MT_rerun_20220919	D17	5	5000	TSPAN15
MT_rerun_20220919	D18	5	5000	TSPAN15
MT_rerun_20220919	D19	2	5000	WASF2
