plate_map_name	well_position	plating_density	line_ID
cmQTL_plate6_8.27.2019	F08	10000	0
cmQTL_plate6_8.27.2019	F09	10000	233
cmQTL_plate6_8.27.2019	F10	10000	233
cmQTL_plate6_8.27.2019	F11	10000	265
cmQTL_plate6_8.27.2019	F12	10000	265
cmQTL_plate6_8.27.2019	F13	10000	246
cmQTL_plate6_8.27.2019	F14	10000	246
cmQTL_plate6_8.27.2019	F15	10000	241
cmQTL_plate6_8.27.2019	F16	10000	241
cmQTL_plate6_8.27.2019	F17	10000	255
cmQTL_plate6_8.27.2019	F18	10000	255
cmQTL_plate6_8.27.2019	F19	10000	254
cmQTL_plate6_8.27.2019	F20	10000	254
cmQTL_plate6_8.27.2019	F21	10000	235
cmQTL_plate6_8.27.2019	F22	10000	235
cmQTL_plate6_8.27.2019	F23	10000	260
cmQTL_plate6_8.27.2019	F24	10000	260
cmQTL_plate6_8.27.2019	G01	10000	237
cmQTL_plate6_8.27.2019	G02	10000	237
cmQTL_plate6_8.27.2019	G03	10000	267
cmQTL_plate6_8.27.2019	G04	10000	267
cmQTL_plate6_8.27.2019	G05	10000	245
cmQTL_plate6_8.27.2019	G06	10000	245
cmQTL_plate6_8.27.2019	G07	10000	251
cmQTL_plate6_8.27.2019	G08	10000	251
cmQTL_plate6_8.27.2019	G09	10000	256
cmQTL_plate6_8.27.2019	G10	10000	256
cmQTL_plate6_8.27.2019	G11	10000	249
cmQTL_plate6_8.27.2019	G12	10000	249
cmQTL_plate6_8.27.2019	G13	10000	253
cmQTL_plate6_8.27.2019	G14	10000	253
cmQTL_plate6_8.27.2019	G15	10000	260
cmQTL_plate6_8.27.2019	G16	10000	260
cmQTL_plate6_8.27.2019	G17	10000	263
cmQTL_plate6_8.27.2019	G18	10000	263
cmQTL_plate6_8.27.2019	G19	10000	242
cmQTL_plate6_8.27.2019	G20	10000	242
cmQTL_plate6_8.27.2019	G21	10000	0
cmQTL_plate6_8.27.2019	G22	10000	0
cmQTL_plate6_8.27.2019	G23	10000	243
cmQTL_plate6_8.27.2019	G24	10000	243
cmQTL_plate6_8.27.2019	H01	10000	237
cmQTL_plate6_8.27.2019	H02	10000	237
cmQTL_plate6_8.27.2019	H03	10000	267
cmQTL_plate6_8.27.2019	H04	10000	267
cmQTL_plate6_8.27.2019	H05	10000	245
cmQTL_plate6_8.27.2019	H06	10000	245
cmQTL_plate6_8.27.2019	H07	10000	251
cmQTL_plate6_8.27.2019	H08	10000	251
cmQTL_plate6_8.27.2019	H09	10000	256
cmQTL_plate6_8.27.2019	H10	10000	256
cmQTL_plate6_8.27.2019	H11	10000	249
cmQTL_plate6_8.27.2019	H12	10000	249
